性質,資源彙整機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,電子郵件,地址,服務項目,服務區域,相關網址,X坐標,Y坐標,備註,最後更新時間
,桃園市政府,桃園市私立宜家老人長期照顧中心（養護型）,,,高嘉芸,03-3568810,03-3568809,Plin6361@gmail.com,桃園市桃園區經國路242號2樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立友緣老人長期照顧中心（養護型）,,,陳濬豪,03-3195969,03-3195979,yo_yuen@hotmail.com,桃園市龜山區萬壽路二段345號3樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立慈庭老人長期照顧中心（長期照護型）,,,蕭敦仁,03-3319379,03-3321748,t33311.c55@msa.hinet.net,桃園市桃園區新生路165號6樓之2,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立慈家老人長期照顧中心（養護型）,,,蕭敦仁,03-3331155,03-3321748,t33311.c55@msa.hinet.net,桃園市桃園區新生路165號6樓之1,機構喘息,全區,,,,,20250529
,桃園市政府,大園敏盛醫院附設護理之家,,,陳淑燕,03-3868659分機15,03-3868669,du3868659@gmail.com,桃園市大園區華中街2號3.5樓,機構喘息,全區,,,,,20250529
,桃園市政府,旭登護理之家,,,李麗珠,03-3677666分機6203,03-3672922,suntsai.tu@zhco.com.tw,桃園市八德區樹仁三街601號,機構喘息,全區,,,,,20250529
,桃園市政府,大慶護理之家,,,許純毓,03-3960036,03-3960037,gracekao2014@yahoo.com.tw,桃園市龜山區文化七路182巷9號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立愈健老人長期照顧中心（養護型）,,,陳穎賢,03-3181946,03-3181948,yujiannursing@gmail.com,桃園市龜山區文三三街5巷5號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立海森老人長期照顧中心（養護型）,,,蔡雅芳,03-3228886,,hyeson@hdsin.tw,桃園市蘆竹區蘆興南路403巷26號,機構喘息,全區,,,,,20250529
,桃園市政府,財團法人桃園市私立甡光社會福利基金會附設桃園市私立甡光老人長期照顧中心（養護型）,,,楊牡真,03-4643380,03-4643342,wanitalee@yahoo.com.tw,桃園市平鎮區南平路二段516巷99號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立慈園老人長期照顧中心（養護型）,,,黃翊慈,03-4700766,03-4891377,ks190558@yahoo.com.tw,桃園市龍潭區武中路558號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立莊敬園老人長期照顧中心（養護型）,,,沈思叡,03-3250813,03-3260838,zjyuan375@gmail.com,桃園市桃園區莊敬路一段375號3樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立慈恩老人長期照顧中心（養護型）,,,廖千惠,03-4558858,,a034558858@gmail.com,桃園市中壢區自信里自立三街2巷16號、18號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立陽光老人長期照顧中心（養護型）,,,黃琴,"03-3618728
0937-817563",03-3618728,r34s79@yahoo.com.tw,桃園市桃園區國際路一段264號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立厚德老人長期照顧中心（養護型）,,,謝孟君,03-4718866,03-4710815,dfhoude@yahoo.com.tw,桃園市龍潭區高原路239號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立大園老人長期照顧中心（養護型）,,,徐孟鈴,03-3864499,03-3850373,a0916904255@gmail.com,桃園市大園區圳頭路342號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立東陽老人長期照顧中心（養護型）,,,廖珮妏,03-2850571,03-2850573,eastsun1020525@gmail.com,桃園市中壢區興仁路2段152之2號1樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立康全老人長期照顧中心（養護型）,,,廖文義,03-3615577,03-3617755,k3615577@yahoo.com.tw,桃園市桃園區樹林四街26號1、2樓,機構喘息,全區,,,,,20250529
,桃園市政府,福仁護理之家,,,劉富美,03-3281616,03-3182669,furen.nursing@msa.hinet.net,桃園市龜山區大湖一路79巷35號,機構喘息,全區,,,,,20250529
,桃園市政府,財團法人桃園市私立國宏老人長期照顧中心（養護型）,,,吳黃玉英,03-4582977,03-4588889,a0450-ster@gmail.com,桃園市平鎮區關爺東路19-5號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立八德老人長期照顧中心（養護型）,,,謝鴻倫,03-2182128,03-2181208,bade2182128@yahoo.com.tw,桃園市八德區介壽路1段758巷8號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立元福護理之家,,,王秋琪,03-3909835分機16,03-3909837,yaya3903935@gmail.com,桃園市大溪區石園路760巷316號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立博愛老人長期照顧中心（養護型）,,,江忠礎,03-4775570,03-4775580,poi034775570@gmail.com,桃園市新屋區東明里3鄰上庄一路136號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立賀立安老人長期照顧中心（養護型）,,,林韋丞,03-4081935,03-4080277,stltc82212164@gmail.com,"桃園市中壢區中正路四段594號8樓
桃園市中壢區中正路四段596號8,9樓",機構喘息,全區,,,,,20250529
,桃園市政府,懷寧護理之家,,,楊少如,03-4080143,03-4080430,fannysmart@hotmail.com,"桃園市中壢區崇德三路250號1至4樓
桃園市中壢區崇德三路252號1至4樓",機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立大溪老人長期照顧中心(養護型),,,謝鴻倫,03-3870119,,dasi8543870119@gmail.com,桃園市大溪區慈湖路85號4樓,機構喘息,全區,,,,,20250529
,桃園市政府,承恩護理之家,,,袁淑芬,03-4570518,03-4570710,shns001@gmail.com,桃園市平鎮區和平路86號6樓,機構喘息,全區,,,,,20250529
,桃園市政府,信安護理之家,,,賴美志,"03-3272200
分機19",03-3273377,shinannursinghome@gmail.com,桃園市龜山區文昌二街79號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立松林老人長期照顧中心（長期照護型）,,,黃銘宏,03-3288001,03-3288149,evonne.huang@msa.hinet.net,桃園市龜山區復興北路6巷46號,機構喘息,全區,,,,,20250529
,桃園市政府,敏盛綜合醫院附設護理之家,,,葉雅萍,03-3379340#620,03-3314482,smn3379340@gmail.com,桃園市桃園區三民路3段106號6樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立陽光空氣水老人長期照顧中心（養護型）,,,盧國裕,03-3588966,03-3566587,care14576@gmail.com,桃園市桃園區中正路720之7號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立民享老人長期照顧中心（養護型）,,,黃靜如,03-3350800,03-3350801,jujuo33350800@gmail.com,桃園市桃園區民生路290號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立逸慈老人長期照顧中心（養護型）,,,陳昀佑,03-3015051,03-3021297,icheheart0203@gmail.com,桃園市桃園區寶慶路201號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立禾安老人長期照顧中心（養護型）,,,王文珠,03-3329699,03-3329699,heanoffice1003@gmail.com,桃園市桃園區朝陽街2段26.28號2樓,機構喘息,全區,,,,,20250529
,桃園市政府,南雅護理之家,,,黃如霞,03-3361501,03-3361170,nanya1040913@gmail.com,桃園市桃園區中山東路32-20號7及8樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立同安老人長期照顧中心（養護型）,,,曾國銘,03-3552546,,tongn101@yahoo.com.tw,桃園市桃園區新埔七街101號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立眾生老人長期照顧中心（養護型）,,,徐芬,03-3887167,,apple_godo706@yahoo.com.tw,桃園市大溪區順和路65號1-4樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立長祐老人長期照顧中心,,,沈益平,03-4356337,03-4352463,hf5755.shen@msa.hinet.net,桃園市中壢區自治里22鄰環中東路188號、190號2樓,機構喘息,全區,,,,,20250529
,桃園市政府,寬福護理之家,,,周矢綾,03-3702500,03-3702501,cfnh99169042@gmail.com,桃園市桃園區裕和街35號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立康健老人長期照顧中心（養護型）,,,許松峰,03-3552638,03-3552537,tongn101@yahoo.com.tw,桃園市桃園區新埔七街101號2、3樓,機構喘息,全區,,,,,20250529
,桃園市政府,仁義護理之家,,,呂紹揚,03-3191688,03-3201642,jynh2008@yahoo.com.tw,桃園市龜山區自強南路289號,機構喘息,全區,,,,,20250529
,桃園市政府,陽明醫院附設護理之家,,,袁淑芬,03-4929929#350,03-4929938,n0936848505@yahoo.com.tw,桃園市平鎮區延平路二段56號3樓,機構喘息,全區,,,,,20250529
,桃園市政府,揚明護理之家,,,李彩綺,03-4581899,03-4583572,ymnh4581899@gmail.com,桃園市平鎮區金陵路二段268號,機構喘息,全區,,,,,20250529
,桃園市政府,松林護理之家,,,簡慧足,03-3180999,03-3273919,a033180999@gmail.com,桃園市龜山區復興北路6巷46號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立龍德老人長期照顧中心（養護型）,,,林淑虹,03-4970361,03-4972007,cara2085@hotmail.com,桃園市新屋區三民路265巷68號1樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立富佑老人長期照顧中心（養護型）,,,鄭玉蓮,03-4721972,,foryou.org.tw@gmail.com,桃園市楊梅區富豐南路418號1-2樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立康益老人長期照顧中心（養護型）,,,張亭芝,03-3347259,03-3347138,c09985183@gmail.com,桃園市桃園區新生路165號5樓之1,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立家悅老人長期照顧中心（養護型）,,,楊閎升,03-3342139,03-3347138,c09985183@gmail.com,桃園市桃園區新生路165號5樓之2,機構喘息,全區,,,,,20250529
,桃園市政府,天成醫院附設護理之家,,,楊瑾瑋,03-4883910,03-4882316,medhome6@tcmg.com.tw,桃園市楊梅區新成路196號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立祥安老人長期照顧中心（養護型）,,,黃日華,03-3975862,03-3961392,aabc5862tw@gmail.com,桃園市龜山區文化三路78巷30弄26號,機構喘息,全區,,,,,20250529
,桃園市政府,衛生福利部樂生療養院附設護理之家,,,施玲娜,02-82006600分機3828,02-82001237,ls65570@lslp.mohw.gov.tw,桃園市龜山區萬壽路一段50巷2號8樓,機構喘息,全區,,,,,20250529
,桃園市政府,恩典護理之家,,,王心儀,03-3490069,03-3495877,geace3490069@gmail.com,桃園市龜山區萬壽路二段956號2-6樓,機構喘息,全區,,,,,20250529
,桃園市政府,楓樹護理之家,,,傅姿媛,03-3591000,03-3594580,chihfu6@gmail.com,桃園市龜山區楓樹里光榮路105號,機構喘息,全區,,,,,20250529
,桃園市政府,中敏護理之家,,,王燕萍,"03-4371000
0958-276025",03-4377890,wangqq3636@gmail.com,桃園市中壢區普慶里中山東路525之7號2樓,機構喘息,全區,,,,,20250529
,桃園市政府,樂鑫護理之家,,,游曉芬,03-4591292,03-4594117,lexin@livemail.tw,"桃園市中壢區廈門街91號2樓
桃園市中壢區福州路102號2樓",機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立台大老人長期照顧中心（養護型）,,,鄭淑卿,03-3555036,03-3555035,tai_da_168@yahoo.com.tw,桃園市桃園區經國路242-1、244、246號4樓,機構喘息,全區,,,,,20250529
,桃園市政府,廣元長照社團法人附設桃園市私立元德綜合長照機構,,,黃晟恆,03-3322049,03-3322027,a3322049@gmail.com,桃園市桃園區潮洲街78號1至5樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立長青老人長期照顧中心（養護型）,,,郭澐蓁,03-3861559,03-3861589,ching.ging09@msa.hinet.net,桃園市大園區華興路1段81號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園皇家護理之家,,,謝麗珠,03-3379595,03-3392546,like.abook.ing@gmail.com,桃園市桃園區復興路70號6、7樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立恩澤老人長期照顧中心（養護型）,,,李靜怡,03-3333636,03-3330237,enze.center@gmail.com,桃園市桃園區中央街26號1樓,機構喘息,全區,,,,,20250529
,桃園市政府,金色年代長照社團法人附設桃園市私立金色時代住宿長照機構,,,徐向謙,03-4623929,03-4621396,n4538@tcmg.com.tw,桃園市中壢區忠勤街36號,機構喘息,全區,,,,,20250529
,桃園市政府,財團法人台灣省私立桃園仁愛之家,,,李建榮,03-4643385,03-4641512,sw.tych@gmail.com,桃園市楊梅區梅獅路539巷3號,機構喘息,全區,,,,,20250529
,桃園市政府,佳恩長照社團法人私立楊梅佳醫住宿長照機構,,,蘇秀鑾,03-4317786,03-4315415,abhn.ym@gmail.com,桃園市楊梅區裕成南路159號,機構喘息,全區,,,,,20250529
,桃園市政府,基礎忠恕長照財團法人附設桃園市私立鼎居住宿長照機構,,,廖永康,03-2888666,03-4881515,digjuhappy99@gmail.com,桃園市楊梅區高鐵南路七段178巷16號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立雲鵬老人長期照顧中心（養護型）,,,李鈺堂,03-4881300,03-4881770,yuppchun@gmail.com,桃園市楊梅區中山北路一段319號,機構喘息,全區,,,,,20250529
