序號,行政區,單位性質,服務單位,地址,電話,服務項目,服務情形
1,八德區,混合型,旭登護理之家附設日間照顧中心,桃園市八德區大強里002鄰樹仁三街601號3樓,03-3672921,日間照顧,服務中
2,八德區,混合型,桃園市私立佳緣社區長照機構,桃園市八德區茄明里001鄰中華路92號1至2樓,03-3780678,日間照顧,服務中
3,八德區,混合型,國軍退除役官兵輔導委員會桃園榮譽國民之家附設悅來社區長照機構,桃園市八德區大信里035鄰興豐路1217號1樓,03-3681140#370、371,日間照顧,服務中
4,八德區,混合型,桃園市私立健安綜合長照機構,桃園市八德區竹園里017鄰長興路469號1至3樓,03-3682798,日間照顧 居家服務,服務中
5,八德區,混合型,社團法人愛福家協會附設桃園市私立八德大湳社區長照機構,桃園市八德區廣隆里022鄰廣福路218號2樓,03-3663611,小規模多機能,服務中
6,八德區,混合型,財團法人雙福社會福利慈善事業基金會附設桃園市私立八德麻園社區長照機構,桃園市八德區大順里002鄰介壽路二段361巷26號1樓,03-361-6339,日間照顧,服務中
7,大園區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,桃園市大園區橫峰里010鄰中正東路97之2號3樓,03-3861130,日間照顧,服務中
8,大園區,混合型,智浩企業有限公司附設桃園市私立青埔綜合長照機構,桃園市大園區青峰里003鄰中山南路二段663號2樓,03-3868700#7321,日間照顧 居家服務,服務中
9,大園區,混合型,萊恩全齡健康事業有限公司附設桃園市私立青埔萊恩社區長照機構,桃園市大園區五權里011鄰中興路二段367號2樓,03-3810367,日間照顧,服務中
10,大園區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人大園社區長照機構,桃園市大園區橫峰里011鄰中正東路97之2號4樓,03-3860138,日間照顧,尚未特約
11,大園區,混合型,社團法人台灣德安社會福利協會附設桃園市私立大園五權社區長照機構,桃園市大園區五權里013鄰五青路70巷371號1樓,03-3814449,小規模多機能,服務中
12,大溪區,混合型,財團法人雙福社會福利慈善事業基金會附設桃園市私立大溪崎頂社區長照機構,桃園市大溪區仁武里001鄰公園路30號1樓,03-3805695,日間照顧,服務中
13,大溪區,混合型,桃園市私立開心社區長照機構,桃園市大溪區一德里007鄰文化路247號1至4樓,03-3880808,日間照顧,服務中
14,大溪區,混合型,旭登長照社團法人附設桃園市私立仁善綜合長照機構,桃園市大溪區仁善里017鄰仁善街268號1至4樓,03-2737777,日間照顧 機構住宿,服務中
15,中壢區,混合型,天成醫療社團法人附設桃園市私立新街社區長照機構,桃園市中壢區新街里006鄰延平路219號1至3樓,03-4620085,日間照顧,服務中
